local_authority_code,local_authority_name,country_region_name,latest_lq_ratio,comparison_lq_ratio,five_year_change
E07000215,Tandridge,South East,15.4,14.07,1.33
E07000111,Sevenoaks,South East,14.26,13.0,1.2599999999999998
E08000004,Oldham,North West,6.04,4.78,1.2599999999999998
E07000196,South Staffordshire,West Midlands,8.85,7.77,1.08
E06000015,Derby,East Midlands,5.6,4.57,1.0299999999999994
W06000019,Blaenau Gwent,Wales,4.31,3.33,0.9799999999999995
E08000009,Trafford,North West,9.95,9.0,0.9499999999999993
E06000036,Bracknell Forest,South East,10.76,9.93,0.8300000000000001
E08000001,Bolton,North West,5.91,5.11,0.7999999999999998
E08000012,Liverpool,North West,4.54,3.74,0.7999999999999998
E08000028,Sandwell,West Midlands,6.6,5.82,0.7799999999999994
E08000002,Bury,North West,7.14,6.36,0.7799999999999994
E08000011,Knowsley,North West,5.24,4.5,0.7400000000000002
E08000030,Walsall,West Midlands,6.57,5.87,0.7000000000000002
E06000018,Nottingham,East Midlands,6.01,5.32,0.6899999999999995
E07000173,Gedling,East Midlands,7.73,7.05,0.6800000000000006
E06000035,Medway,South East,9.58,8.92,0.6600000000000001
E06000020,Telford and Wrekin,West Midlands,6.53,5.89,0.6400000000000006
E08000005,Rochdale,North West,5.84,5.21,0.6299999999999999
W06000016,Rhondda Cynon Taf,Wales,4.47,3.89,0.5799999999999996
