country_region_name,local_authority_code,local_authority_name,year,lower_quartile_house_price,lower_quartile_annual_earnings,lower_quartile_affordability_ratio,median_affordability_ratio
North East,E06000047,County Durham,2025,92500,27003.0,3.43,4.34
North West,E07000117,Burnley,2025,85000,24417.0,3.48,4.18
North West,E07000120,Hyndburn,2025,92500,26327.0,3.51,4.08
North East,E06000001,Hartlepool,2025,100000,26716.0,3.74,4.8
North East,E06000002,Middlesbrough,2025,105000,27262.0,3.85,4.51
North West,E07000122,Pendle,2025,100000,25497.0,3.92,4.52
North West,E06000009,Blackpool,2025,105000,26224.0,4.0,4.18
North West,E06000063,Cumberland,2025,122500,29684.0,4.13,4.15
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",2025,110000,26613.0,4.13,4.12
West Midlands,E06000021,Stoke-on-Trent,2025,115000,27711.0,4.15,4.44
Wales,W06000012,Neath Port Talbot,2025,125000,30000.0,4.17,4.41
North East,E08000024,Sunderland,2025,110000,25807.0,4.26,4.75
Wales,W06000019,Blaenau Gwent,2025,110000,25542.0,4.31,4.34
Wales,W06000024,Merthyr Tydfil,2025,112625,25761.0,4.37,4.57
Yorkshire and The Humber,E06000012,North East Lincolnshire,2025,115000,26325.0,4.37,4.92
North West,E06000008,Blackburn with Darwen,2025,120000,26819.0,4.47,4.69
Wales,W06000016,Rhondda Cynon Taf,2025,117500,26307.0,4.47,4.71
North East,E06000003,Redcar and Cleveland,2025,124225,27486.0,4.52,4.68
North West,E08000012,Liverpool,2025,135000,29734.0,4.54,4.68
North West,E07000123,Preston,2025,132000,28975.0,4.56,5.04
