country_region_name,local_authority_code,local_authority_name,comparison_lq_ratio,latest_lq_ratio,five_year_change
South East,E07000215,Tandridge,14.07,15.4,1.33
North West,E08000004,Oldham,4.78,6.04,1.26
South East,E07000111,Sevenoaks,13.0,14.26,1.26
West Midlands,E07000196,South Staffordshire,7.77,8.85,1.08
East Midlands,E06000015,Derby,4.57,5.6,1.03
Wales,W06000019,Blaenau Gwent,3.33,4.31,0.98
North West,E08000009,Trafford,9.0,9.95,0.95
South East,E06000036,Bracknell Forest,9.93,10.76,0.83
North West,E08000001,Bolton,5.11,5.91,0.8
North West,E08000012,Liverpool,3.74,4.54,0.8
North West,E08000002,Bury,6.36,7.14,0.78
West Midlands,E08000028,Sandwell,5.82,6.6,0.78
North West,E08000011,Knowsley,4.5,5.24,0.74
West Midlands,E08000030,Walsall,5.87,6.57,0.7
East Midlands,E06000018,Nottingham,5.32,6.01,0.69
East Midlands,E07000173,Gedling,7.05,7.73,0.68
South East,E06000035,Medway,8.92,9.58,0.66
West Midlands,E06000020,Telford and Wrekin,5.89,6.53,0.64
North West,E08000005,Rochdale,5.21,5.84,0.63
Wales,W06000016,Rhondda Cynon Taf,3.89,4.47,0.58
